ID,SYMBOL,PURCHASE_PRICE,DATE,QUANTITY_PURCHASED,CURRENT_WORTH,DOLLARS_SPENT
2,LTC,6.361123562,2015-07-08 0:00:00,2.24578475,140.019821,14.28571429
2,LTC,5.239784718,2016-06-15 0:00:00,2.726393365,140.019821,14.28571429
2,LTC,4.748165607,2016-06-08 0:00:00,3.008680713,140.019821,14.28571428
2,LTC,4.740988731,2016-06-01 0:00:00,3.013235233,140.019821,14.28571428
2,LTC,4.511594296,2017-01-01 0:00:00,3.166444798,140.019821,14.28571429
2,LTC,4.255969524,2016-07-01 0:00:00,3.356629836,140.019821,14.28571429
2,LTC,4.219906807,2016-07-08 0:00:00,3.385315112,140.019821,14.28571428
2,LTC,4.214093685,2015-07-15 0:00:00,3.389984977,140.019821,14.28571428
2,LTC,4.160865307,2017-03-15 0:00:00,3.433351775,140.019821,14.28571429
2,LTC,4.159766674,2016-07-15 0:00:00,3.434258555,140.019821,14.28571429
2,LTC,4.153203964,2015-08-01 0:00:00,3.439685219,140.019821,14.28571429
2,LTC,4.088331699,2016-11-01 0:00:00,3.49426498,140.019821,14.28571428
2,LTC,4.075325966,2017-02-01 0:00:00,3.505416353,140.019821,14.28571429
2,LTC,4.063119411,2016-05-15 0:00:00,3.515947438,140.019821,14.28571428
2,LTC,4.038288116,2016-07-22 0:00:00,3.537566878,140.019821,14.28571428
2,LTC,4.023171902,2017-02-08 0:00:00,3.550858535,140.019821,14.28571429
2,LTC,3.994576693,2017-01-08 0:00:00,3.576277384,140.019821,14.28571429
2,LTC,3.988338232,2016-09-08 0:00:00,3.581871309,140.019821,14.28571428
2,LTC,3.959301472,2015-11-01 0:00:00,3.608140069,140.019821,14.28571429
2,LTC,3.94731164,2016-11-22 0:00:00,3.619099678,140.019821,14.28571429
2,LTC,3.938139677,2016-05-08 0:00:00,3.627528594,140.019821,14.28571429
2,LTC,3.93649292,2017-03-22 0:00:00,3.629046102,140.019821,14.28571429
2,LTC,3.929695368,2016-05-22 0:00:00,3.635323593,140.019821,14.28571428
2,LTC,3.925837994,2017-01-15 0:00:00,3.63889552,140.019821,14.28571429
2,LTC,3.9254632,2015-08-15 0:00:00,3.639242953,140.019821,14.28571429
2,LTC,3.924274683,2015-07-01 0:00:00,3.640345144,140.019821,14.28571429
2,LTC,3.910699129,2016-06-22 0:00:00,3.652982194,140.019821,14.28571428
2,LTC,3.909081936,2016-12-01 0:00:00,3.654493439,140.019821,14.28571429
2,LTC,3.893593073,2016-11-15 0:00:00,3.669031154,140.019821,14.28571429
2,LTC,3.885458708,2016-10-22 0:00:00,3.676712419,140.019821,14.28571429
2,LTC,3.872429609,2016-10-15 0:00:00,3.689083012,140.019821,14.28571429
2,LTC,3.86342001,2016-08-01 0:00:00,3.697686053,140.019821,14.28571429
2,LTC,3.854753017,2015-08-08 0:00:00,3.705999897,140.019821,14.28571428
2,LTC,3.849217892,2016-10-01 0:00:00,3.711329077,140.019821,14.28571429
2,LTC,3.842938662,2017-01-22 0:00:00,3.717393262,140.019821,14.28571429
2,LTC,3.84275651,2016-11-08 0:00:00,3.717569471,140.019821,14.28571429
2,LTC,3.838047028,2016-10-08 0:00:00,3.722131121,140.019821,14.28571429
2,LTC,3.833769798,2015-12-15 0:00:00,3.726283798,140.019821,14.28571428
2,LTC,3.832012177,2016-09-01 0:00:00,3.727992926,140.019821,14.28571429
2,LTC,3.823664188,2015-07-22 0:00:00,3.73613204,140.019821,14.28571428
2,LTC,3.811924934,2016-09-15 0:00:00,3.747637882,140.019821,14.28571429
2,LTC,3.809277773,2017-02-15 0:00:00,3.750242208,140.019821,14.28571429
2,LTC,3.805222511,2017-02-22 0:00:00,3.754238877,140.019821,14.28571429
2,LTC,3.79889679,2017-03-01 0:00:00,3.760490236,140.019821,14.28571429
2,LTC,3.785511732,2016-08-08 0:00:00,3.773786821,140.019821,14.28571428
2,LTC,3.775999069,2017-03-08 0:00:00,3.783293911,140.019821,14.28571429
2,LTC,3.767569065,2016-09-22 0:00:00,3.7917591,140.019821,14.28571429
2,LTC,3.711680651,2016-12-22 0:00:00,3.84885329,140.019821,14.28571429
2,LTC,3.705200911,2016-05-01 0:00:00,3.855584253,140.019821,14.28571429
2,LTC,3.691102982,2016-12-08 0:00:00,3.870310408,140.019821,14.28571429
2,LTC,3.686922073,2015-12-08 0:00:00,3.874699275,140.019821,14.28571428
2,LTC,3.657255411,2016-08-22 0:00:00,3.906129783,140.019821,14.28571428
2,LTC,3.62447238,2016-12-15 0:00:00,3.941460381,140.019821,14.28571429
2,LTC,3.577080965,2016-08-15 0:00:00,3.993679323,140.019821,14.28571429
2,LTC,3.568877459,2016-01-08 0:00:00,4.002859289,140.019821,14.28571429
2,LTC,3.51123333,2015-08-22 0:00:00,4.068574471,140.019821,14.28571429
2,LTC,3.508984089,2016-01-01 0:00:00,4.071182406,140.019821,14.28571429
2,LTC,3.483631611,2016-02-22 0:00:00,4.100810844,140.019821,14.28571429
2,LTC,3.434895992,2015-12-01 0:00:00,4.158994717,140.019821,14.28571428
2,LTC,3.432973862,2016-03-01 0:00:00,4.161323349,140.019821,14.28571429
2,LTC,3.419529438,2015-12-22 0:00:00,4.177684253,140.019821,14.28571429
2,LTC,3.419066429,2015-11-08 0:00:00,4.178249994,140.019821,14.28571429
2,LTC,3.31927228,2016-04-22 0:00:00,4.303869367,140.019821,14.28571429
2,LTC,3.30577755,2016-03-15 0:00:00,4.321438473,140.019821,14.28571429
2,LTC,3.278825521,2016-04-15 0:00:00,4.356960806,140.019821,14.28571428
2,LTC,3.254217863,2016-03-08 0:00:00,4.389907156,140.019821,14.28571428
2,LTC,3.239946842,2016-04-01 0:00:00,4.409243417,140.019821,14.28571428
2,LTC,3.234723091,2016-03-22 0:00:00,4.4163639,140.019821,14.28571429
2,LTC,3.220268726,2016-04-08 0:00:00,4.436187008,140.019821,14.28571428
2,LTC,3.182506561,2016-02-15 0:00:00,4.488824771,140.019821,14.28571428
2,LTC,3.136830568,2015-11-22 0:00:00,4.554187411,140.019821,14.28571428
2,LTC,3.114645958,2015-10-22 0:00:00,4.586625407,140.019821,14.28571428
2,LTC,3.104892731,2015-10-15 0:00:00,4.601033119,140.019821,14.28571429
2,LTC,3.077242613,2016-02-01 0:00:00,4.642375036,140.019821,14.28571429
2,LTC,3.076568604,2016-01-22 0:00:00,4.64339208,140.019821,14.28571429
2,LTC,3.065799713,2015-11-15 0:00:00,4.659702401,140.019821,14.28571428
2,LTC,3.064031839,2015-10-08 0:00:00,4.662390939,140.019821,14.28571428
2,LTC,3.0621593,2016-02-08 0:00:00,4.665242036,140.019821,14.28571429
2,LTC,3.047375679,2015-09-08 0:00:00,4.687874352,140.019821,14.28571429
2,LTC,3.028461218,2015-06-22 0:00:00,4.717152791,140.019821,14.28571429
2,LTC,3.001915455,2015-10-01 0:00:00,4.758866297,140.019821,14.28571429
2,LTC,2.996779442,2016-01-15 0:00:00,4.767022253,140.019821,14.28571429
2,LTC,2.844647408,2015-09-22 0:00:00,5.02196309,140.019821,14.28571429
2,LTC,2.823188066,2015-09-15 0:00:00,5.060135545,140.019821,14.28571428
2,LTC,2.820014477,2015-09-01 0:00:00,5.065830124,140.019821,14.28571429
2,LTC,2.69904542,2015-01-01 0:00:00,5.292876578,140.019821,14.28571429
2,LTC,2.018830776,2015-03-15 0:00:00,7.076231675,140.019821,14.28571428
2,LTC,2.018251419,2015-06-15 0:00:00,7.078262971,140.019821,14.28571429
2,LTC,2.008074045,2015-01-08 0:00:00,7.11413721,140.019821,14.28571428
2,LTC,1.891858578,2015-03-08 0:00:00,7.551153376,140.019821,14.28571429
2,LTC,1.89157176,2015-03-01 0:00:00,7.552298351,140.019821,14.28571428
2,LTC,1.84199512,2015-02-15 0:00:00,7.755565761,140.019821,14.28571428
2,LTC,1.832296133,2015-05-22 0:00:00,7.796618695,140.019821,14.28571429
2,LTC,1.803519607,2015-02-01 0:00:00,7.921019674,140.019821,14.28571429
2,LTC,1.797715187,2015-03-22 0:00:00,7.946594871,140.019821,14.28571428
2,LTC,1.796204686,2015-02-22 0:00:00,7.953277483,140.019821,14.28571428
2,LTC,1.786462784,2015-06-08 0:00:00,7.996648133,140.019821,14.28571429
2,LTC,1.783587337,2015-02-08 0:00:00,8.009540095,140.019821,14.28571429
2,LTC,1.664629936,2015-04-01 0:00:00,8.581916001,140.019821,14.28571428
2,LTC,1.627504706,2015-04-08 0:00:00,8.777679247,140.019821,14.28571428
2,LTC,1.616008639,2015-06-01 0:00:00,8.840122471,140.019821,14.28571428
2,LTC,1.481081486,2015-05-08 0:00:00,9.64546139,140.019821,14.28571429
2,LTC,1.454293132,2015-05-15 0:00:00,9.82313261,140.019821,14.28571429
2,LTC,1.454191923,2015-04-22 0:00:00,9.82381628,140.019821,14.28571429
